EVENT_ID_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ACTOR2,CIVILIAN_TARGETING,COUNTRY,ADMIN1,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,FATALITIES,TAGS,TIMESTAMP
UKR127237,6-Sep-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Zaporizhia,Shcherbaky,47.551,35.582,1,0,nan,1694528988
UKR126570,8-Sep-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,nan,nan,Ukraine,Kharkiv,Bolohivka,50.055,37.805,2,0,nan,1694528987
UKR127928,9-Sep-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Zaporizhia,Huliaipole,47.664,36.256,1,0,nan,1695129378
UKR127417,10-Sep-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Civilians (Ukraine),Civilian targeting,Ukraine,Kyiv City,Kyiv,50.45,30.522,3,0,nan,1695129377
UKR128072,11-Sep-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Kharkiv,Vovchansk,50.291,36.941,2,0,nan,1695129378
UKR127845,11-Sep-23,2023,1,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),Civilians (Ukraine),Civilian targeting,Ukraine,Kharkiv,Snizhkivka,49.159,37.236,1,0,nan,1695129378
UKR128237,14-Sep-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Kherson,Zmiivka,46.865,33.584,2,0,nan,1695129378
UKR128770,16-Sep-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),nan,Ukraine,Donetsk,Vuhledar,47.779,37.248,2,2,nan,1695751329
RUS11791,19-Sep-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),nan,nan,Russia,Belgorod,Terebreno,50.717,35.509,1,0,nan,1695751328
UKR129018,19-Sep-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Kharkiv,Kotliarivka,49.631,37.906,2,0,nan,1695751331
UKR128773,19-Sep-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),nan,Ukraine,Donetsk,Novodonetske,47.755,36.96,2,2,nan,1695751329
UKR128728,20-Sep-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Civilians (Ukraine),Civilian targeting,Ukraine,Kherson,Komyshany,46.636,32.503,1,0,nan,1695751329
UKR128545,22-Sep-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,nan,nan,Ukraine,Luhansk,Makiivka,49.227,37.986,2,0,nan,1695751328
UKR129892,24-Sep-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Kherson,Tokarivka,46.75,32.951,1,0,nan,1696369117
RUS12150,25-Sep-23,2023,2,Explosions/Remote violence,Air/drone strike,Unidentified Armed Group (Russia),nan,nan,Russia,Voronezh,Yamnoye,51.793,39.142,1,0,nan,1696959098
UKR130007,26-Sep-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Kharkiv,Vovchansk,50.291,36.941,2,0,nan,1696369118
UKR129358,26-Sep-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Police Forces of Ukraine (2019-),nan,Ukraine,Kherson,Beryslav,46.842,33.428,2,0,nan,1696369115
UKR130094,28-Sep-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Chernihiv,Kliusy,52.077,31.929,2,0,nan,1696369118
RUS12092,3-Oct-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),nan,nan,Russia,Kursk,Tyotkino,51.273,34.284,1,0,nan,1696959098
UKR130942,4-Oct-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Zaporizhia,Pyatykhatky,47.508,35.462,2,0,nan,1696959100
UKR130389,6-Oct-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,nan,nan,Ukraine,Donetsk,Spirne,48.808,38.259,2,0,nan,1696959099
UKR131673,7-Oct-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Kharkiv,Kyslivka,49.641,37.905,1,0,nan,1697557205
UKR131366,8-Oct-23,2023,1,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),nan,Ukraine,Donetsk,Marinka,47.943,37.505,2,0,nan,1697557203
UKR131767,9-Oct-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Kharkiv,Okhrimivka,50.334,37.21,2,0,nan,1697557205
UKR131446,9-Oct-23,2023,1,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),nan,Ukraine,Donetsk,Kurdiumivka,48.468,37.957,2,4,nan,1697557204
UKR132064,10-Oct-23,2023,2,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Military Forces of Ukraine (2019-),nan,Ukraine,Zhytomyr,Zhytomyr,50.265,28.677,2,0,nan,1698180618
UKR131854,11-Oct-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Sumy,Novodmytrivka,50.759,35.38,1,0,nan,1697557206
RUS12244,11-Oct-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),nan,nan,Russia,Belgorod,Poroz,50.578,35.454,1,0,nan,1697557201
UKR131273,13-Oct-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,nan,nan,Ukraine,Kherson,Olhivka,46.792,33.199,2,0,nan,1697557202
UKR131329,13-Oct-23,2023,1,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),nan,Ukraine,Kharkiv,Kyslivka,49.641,37.905,2,0,nan,1697557202
UKR132593,14-Oct-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Kharkiv,Lyman Pershyi,49.791,37.706,1,0,nan,1698180619
UKR132726,17-Oct-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Kherson,Odradokamianka,46.788,33.302,2,0,nan,1698180620
UKR132924,18-Oct-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),Military Forces of Russia (2000-) Donetsk People's Militia,nan,Ukraine,Donetsk,Donetsk - Kyivskyi,47.986,37.862,1,0,nan,1698180620
UKR132803,18-Oct-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Sumy,Volfyne,51.243,34.463,1,0,nan,1698180620
UKR133862,21-Oct-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),Military Forces of Russia (2000-) Donetsk People's Militia,nan,Ukraine,Donetsk,Donetsk - Petrovskyi,47.95,37.614,1,0,nan,1698774978
UKR133238,24-Oct-23,2023,1,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),nan,Ukraine,Zaporizhia,Kopani,47.457,35.726,2,0,nan,1698774976
UKR133273,26-Oct-23,2023,1,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),nan,Ukraine,Donetsk,Ozarianivka,48.45,37.955,2,0,nan,1698774976
UKR133189,27-Oct-23,2023,1,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),nan,Ukraine,Kharkiv,Synkivka,49.763,37.705,2,5,nan,1698774976
UKR134228,28-Oct-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Zaporizhia,Charivne,47.58,36.034,1,0,nan,1699385323
RUS12515,30-Oct-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,nan,nan,Russia,Belgorod,Petrovka,50.365,36.399,1,0,nan,1699385321
UKR133983,30-Oct-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Civilians (Ukraine),Civilian targeting,Ukraine,Kherson,Kherson,46.656,32.618,1,0,nan,1699385322
UKR134410,1-Nov-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Zaporizhia,Mali Scherbaky,47.548,35.553,2,0,nan,1699385323
UKR135409,8-Nov-23,2023,1,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),nan,Ukraine,Donetsk,Prechystivka,47.779,37.075,2,0,nan,1699988480
UKR135994,11-Nov-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Civilians (Ukraine),Civilian targeting,Ukraine,Donetsk,Toretsk,48.393,37.845,1,2,nan,1700602890
RUS13448,11-Nov-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Russia (2000-),nan,Russia,Belgorod,Nekhoteevka,50.342,36.299,2,0,nan,1704833931
UKR136316,14-Nov-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Donetsk,Pobieda,47.916,37.463,1,0,nan,1700602891
UKR136290,14-Nov-23,2023,1,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),nan,Ukraine,Donetsk,Marinka,47.943,37.505,2,0,nan,1700602891
UKR136374,15-Nov-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),Military Forces of Russia (2000-) Donetsk People's Militia,nan,Ukraine,Donetsk,Donetsk - Kirovskyi,47.968,37.548,1,0,nan,1700602891
UKR136652,17-Nov-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Donetsk,Novopil,47.807,36.625,2,0,nan,1700602892
UKR137078,19-Nov-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Donetsk,Prechystivka,47.779,37.075,1,0,nan,1701200413
UKR138145,26-Nov-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,nan,nan,Ukraine,Sumy,Seredyna-Buda,52.189,34.036,1,0,nan,1701813040
UKR138158,26-Nov-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Donetsk,Verkhnokamianske,48.859,38.196,1,0,nan,1701813040
UKR138252,27-Nov-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Sumy,Velyka Pysarivka,50.424,35.48,2,0,nan,1701813040
UKR138354,28-Nov-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Kharkiv,Starytsia,50.24,36.793,2,0,nan,1701813040
UKR138477,29-Nov-23,2023,1,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),nan,Ukraine,Donetsk,Torske,49.017,37.961,2,0,nan,1701813041
UKR138412,29-Nov-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Civilians (Ukraine),Civilian targeting,Ukraine,Kherson,Kindiika,46.674,32.686,1,1,nan,1701813040
UKR138501,30-Nov-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Zaporizhia,Bilohiria,47.527,36,1,0,nan,1701813041
UKR138571,30-Nov-23,2023,1,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),nan,Ukraine,Donetsk,Pervomayske,48.097,37.592,2,0,nan,1701813041
UKR140081,2-Dec-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Russia (2000-),nan,Ukraine,Kharkiv,Nova Tarasivka,49.66,37.984,2,0,nan,1704833934
UKR139085,4-Dec-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,nan,nan,Ukraine,Kharkiv,Pishchane,49.656,37.781,1,0,nan,1702407966
UKR139176,5-Dec-23,2023,1,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),nan,Ukraine,Donetsk,Khromove,48.597,37.945,2,0,nan,1702407966
UKR139268,6-Dec-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Donetsk,Berdychi,48.194,37.641,2,0,nan,1702407966
UKR139439,7-Dec-23,2023,1,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),nan,Ukraine,Donetsk,Pervomayske,48.097,37.592,2,0,nan,1702407967
RUS13003,8-Dec-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),nan,nan,Russia,Belgorod,Shchetinovka,50.445,36.172,1,0,nan,1702407968
UKR139526,8-Dec-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,nan,nan,Ukraine,Dnipropetrovsk,Mezhyrich,48.562,35.771,2,0,nan,1702407967
UKR139571,8-Dec-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Civilians (Ukraine),Civilian targeting,Ukraine,Kharkiv,Tsaredarivka,48.938,36.223,1,0,nan,1702407967
UKR139526,8-Dec-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,nan,nan,Ukraine,Dnipropetrovsk,Mezhyrich,48.562,35.771,2,0,nan,1702407967
UKR140086,9-Dec-23,2023,1,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),nan,Ukraine,Donetsk,Avdiivka,48.139,37.75,2,0,nan,1704833934
UKR140550,13-Dec-23,2023,1,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),nan,Ukraine,Donetsk,Bohdanivka,48.617,37.896,2,0,nan,1704833935
UKR140551,13-Dec-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Sumy,Brusky,51.407,34.203,2,0,nan,1704833935
UKR140735,15-Dec-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),Military Forces of Russia (2000-) Donetsk People's Militia,nan,Ukraine,Donetsk,Donetsk - Kyivskyi,47.986,37.862,1,0,nan,1704833936
UKR140863,16-Dec-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,nan,nan,Ukraine,Zaporizhia,Huliaipole,47.664,36.256,1,0,nan,1704833936
UKR140826,16-Dec-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Sumy,Baranivka,51.922,34.185,1,0,nan,1704833936
UKR140843,16-Dec-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Kharkiv,Chervona Zoria,50.407,36.13,1,0,nan,1704833936
RUS13134,18-Dec-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,nan,nan,Russia,Belgorod,Krasnyi Khutor,50.371,36.254,1,0,nan,1704833923
RUS13218,23-Dec-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),nan,nan,Russia,Belgorod,Nekhoteevka,50.342,36.299,1,0,nan,1704833924
UKR141758,24-Dec-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Kharkiv,Ivanivka,49.661,37.892,1,0,nan,1704833939
UKR141847,24-Dec-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Donetsk,Yelyzavetivka,47.886,37.302,1,0,nan,1704833940
UKR141937,25-Dec-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Kharkiv,Vovchansk,50.291,36.941,2,0,nan,1704833940
UKR141908,25-Dec-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Sumy,Riasne,50.69,35.394,2,0,nan,1704833940
UKR142016,26-Dec-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Donetsk,Stepove,48.195,37.678,1,0,nan,1704833940
UKR142007,26-Dec-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Kherson,Sadove,46.705,32.822,1,0,nan,1704833940
UKR142246,28-Dec-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,nan,nan,Ukraine,Zaporizhia,Poltavka,47.717,36.489,1,0,nan,1704833942
UKR142255,28-Dec-23,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),nan,nan,Ukraine,Donetsk,Selydove,48.148,37.298,1,0,nan,1704833942
UKR142329,29-Dec-23,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Civilians (Ukraine),Civilian targeting,Ukraine,Kharkiv,Kharkiv,49.981,36.253,2,3,nan,1704833942
